Ranking Order,Celebrity,Image_name,Quote
22,Ali Krieger,Ali_Krieger.png,I have fallen a few times, and each time, I have gotten up and grown as a person and looked at things a little differently.
57,Allen Iverson,Allen_Iverson.png,"You hit road blocks in life, but I'm proof that you can overcome those road blocks and become what you want to become."
38,Ariana Grande,Ariana_Grande.png,"Every time you're faced with something ugly, focus on something beautiful. What you focus on expands. Only you can change your reality."
66,Audrey Hepburn,Audrey_Hepburn.png,The best thing to hold onto in life is each other. 
5,Beyonce,beyonce.png,Your self-worth is determined by you. You don't have to depend on someone telling you who you are. 
6,Beyonce,beyonce.png,It's not about perfection. It's about purpose.  
72,Bo Burnham,Bo_Burnham.png,"Laughter is the best medicine beside, y'know, medicine."
29,Brie Larson,Brie_Larson.png,"Maybe you're not perfect, but you're willing to actually look at yourself and take some kind of accountability. It might not mean that you can turn everything around, but I think there's something incredibly hopeful coming your way. "
13,Cardi B,Cardi_B.png,"Knock me down nine times, but I get up 10."
44,Casey Neistat,Casey_Neistat.png,The most dangerous thing you can do in life is play it safe. 
56,Chance the Rapper,Chance_the_Rapper.png,"Something I try to instill in others is to just be a good person. It's a decision you make a million times a day. But if you just keep trying, good stuff comes to you in an ordained way. "
69,Chris Hemsworth,Chris_Hemsworth.png,"For me, life is about experience and being a good person."
63,Christian Dior,Christian_Dior.png,I think that we have to be aware that people are allowed to make mistakes in their life. 
3,Conor McGregor,Conor_McGregor.png,What defines us is how well we rise after falling.
16,Daisy Ridley,Daisy_Ridley.png,"It's one thing for other people to see potential in you, and it's quite another for you to understand that and see it in yourself."
61,Danica Patrick,Danica_Patrick.png,"Sometimes, it takes looking at the past to really be able to move forward and learn from it. "
23,David Beckham,David_Beckham.png,The only time you run out of chances is when you stop taking them. 
25,Demi Lovato,Demi_Lovato.png,"You're stronger than you think you are. Keep pushing forward, never give up on your dreams, and don't let anyone stop you. "
62,Derek Jeter,Derek_Jeter.png,Surround yourself with good people. People who are going to be honest with you and look out for your best interests.
7,Drake,drake.png,Sometimes it's the journey that teaches you a lot about your destination. 
36,Dumbledore,Dumbledore.png,"It is our choices that show what we truly are, far more than our abilities. "
47,Ellen DeGeneres,Ellen_DeGeneres.png,"Be open to learning new lessons, even if they contradict the lessons you learned yesterday."
12,Emma Watson,Emma_Watson.png,Don't let anyone tell you what you can and can't do or achieve. Do what you want to do and be who you want to be. 
64,Gigi Hadid,Gigi_Hadid.png,You are a shining star. Don't allow anyone to dim your brightness. 
65,Greta Thunberg,Greta_Thunberg.png,We showed that we are united and that we young people are unstoppable. It is the only way. 
33,Jay-Z,jayz.png,You learn more in failure than you ever do in success. 
58,Jimmy Rollins,Jimmy_Rollins.png,Talent only goes so far. You have to work hard the rest of the way. 
40,Joel Embiid,Joel_Embiid.png,Trust the process. 
48,Jonathan Van Ness,Jonathan_Van_Ness.png,"When you're willing to be vulnerable, you can surprise yourself at how strong you can be."
68,J.R.R. Tolkien ,JRR_Tolkien.png,"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater. "
51,J.W. Stephens,JW_Stephens.png,Be the person your dog thinks you are. 
43,Kawhi Leonard,Kawhi_Leonard.png,I like being the underdog so they don't expect what's going to happen. It pushes me to work harder and to do the things I'm not doing better.
9,Kevin Hart,Kevin_Hart.png,The only time you should look back in life is to see how far you have come. 
70,Khalid,Khalid.png,"Positivity, confidence, and persistence are key in life, so never give up on yourself."
26,Lady Gaga,Lady_Gaga.png,Don't you ever let a soul in the world tell you that you can't be exactly who you are.
60,LeBron James,LeBron_James.png,Greatness is defined by how much you want to put into what you do. 
4,Lili Rheinhart,Lili_Rheinhart.png,"You are the one thing in this world, above all other things, that you must never give up on. "
21,Lorde,Lorde.png,"Like wildflowers, you must allow yourself to grow in the ways people never thought you would."
11,Malala Yousafzai,Malala_Yousafzai.png,"We were scared, but our fear was not as strong as our courage. "
50,Martin Luther King Jr.,Martin_Luther_King_Jr.png,"We must accept finite disappointment, but never lose infinite hope. "
2,Maya Angelou,Maya_Angelou.png,We may encouter many defeats but we must not be defeated.
8,Megan Rapinoe,Megan_Rapinoe.png,"No matter what life throws at you or how unfair you think it is, never give up. Pick yourself up and go on. "
52,Meghan Markle,Meghan_Markle.png,Reflecting on where I came from helps me to appreciate and balance what I have now. 
27,Michael Jordan,Michael_Jordan.png,"My attitude is that if you push me towards something that you think is a weakness, then I will turn that perceived weakness into a strength."
42,Michael Phelps,Michael_Phelps.png,"Perseverance, determination, commitment, and courage. Those things are real. The desire for redemption drives you. "
15,Michelle Obama,Michelle_Obama.png,The only limit to the height of your achievements is the reach of your dreams and your willingness to work hard for them.
67,Miley Cyrus,Miley_Cyrus.png,Let your light shine. Be a source of strength and courage. Share your wisdom. Radiate. 
71,Neymar,Neymar.png,"The secret is to believe in your dreams and your potential that you can be like your star. Keep searching, keep believing and don't lose faith in yourself."
1,Nick Jonas,Nick_Jonas.png,"Life happens. Adapt. Embrace change, and make the most of everything that comes your way. "
19,Nick Jonas,Nick_Jonas.png,Live your life knowing that your potential is so much more than you can comprehend yourself. 
39,Nicki Minaj,nichi_minaj.png,Your victory is right around the corner. Never give up.
30,Odell Beckham Jr.,Odell_Beckham_Jr.png,Take advantage of every opportunity life gives you. 
31,Post Malone,Post_Malone.png,Surround yourself around people who want to see you grow. 
53,Priyanka Chopra Jonas,Priyanka_Chopra_Jonas.png,"Work hard, stay focused, and be committed. Most often than not, you'll come out on top."
20,Rihanna,rhianna.png,"It's nice to look back on your life and see things as lessons, and not regrets. "
32,Rihanna,rhianna.png,I'm gonna look back on my life and say that I lived it for me. 
24,Robert Downey Jr.,Robert_Downey_Jr.png,Remember that just because you hit bottom doesn't mean you have to stay there.
17,Robin Williams,Robin_Williams.png,Make your life spectacular. 
14,Ronda Rousey,Ronda_Rousey.png,"To be the best, you have to constantly be challenging yourself, raising the bar, pushing the limits of what you can do. Don't stand still, leap forward. "
10,Russell Wilson,Russell_Wilson.png,Every setback has a major comeback. 
37,Ryan Gosling,Ryan_Gosling.png,"I've learned that it's important not to limit yourself. You can do whatever you really love to do, no matter what it is."
34,Ryan Howard,Ryan_Howard.png,"Sometimes, you're going to have to work hard, sometimes extra hard, and sometimes you still won't get that recognition. That's life. That's the way it is. But if you keep working, eventually you'll get there."
35,Shaq,shaq.png,Excellence is a habit. You are what you repeatedly do.
54,Shawn Mendes,Shawn_Mendes.png,My advice to anyone with a dream is to never stop pursuing it. 
46,Simone Biles,Simone_Biles.png,We can push ourselves further. We always have more to give.
59,Tom Brady,Tom_Brady.png,"I didn't come this far to only come this far, so we've still got further to go."
18,Tom Hardy,Tom_Hardy.png,"You mustn't be afraid to dream a little bigger, kid. "
45,Tyrion Lannister,Tyrion_Lannister.png,Never forget what you are. The rest of the world will not. Wear it like armor and it can never be used to hurt you. 
49,Vera Wang,Vera_Wang.png,"In the end, it's not about failure. It's about how much you love what you do. "
28,Will Smith,will_smith.png,The first step is you have to say that you can. 
41,Zach Ertz,Zach_Ertz.png,"Stay focused, believe that you can achieve at the highest level, surround yourself with others who believe in you, and do not stray from your goal. "
55,Zayn Malik,Zayn_Malik.png,"No matter how many times people try to criticize you, the best revenge is to prove them wrong. "